Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
4951,3,Aayan,0,0,3,No,No,No,Yes,No,No,No,0,0,0,0,0,1,2,0,No,No,Yes,Yes,Yes,No,Yes,No,No,16,2,1,No,Yes,No,did nothing,did good defending - were focused on just defending ,,No,0
6,Aayan,0,0,2,No,No,No,Yes,No,No,No,0,0,0,0,0,1,0,1,No,No,No,No,Yes,No,No,No,No,8,2,1,No,Yes,No,,"just wandered around for half the match, occasionally defending other robots",,No,0
qual 11,Lucy,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,2,0,0,No,Yes,Yes,No,Yes,Yes,No,Yes,No,0,2,1,Yes,Yes,No,,did mostly nothing just ran around the field; yellow card,,No,0
11,Ali,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,1,0,0,1,0,0,No,Yes,Yes,No,Yes,No,No,No,No,16,2,3,No,Yes,Yes,,got pieces from middle and dropped them into community. Then played defense.,balanced with 2,No,0
