Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9098,Practice 2,Sarah,0,0,3,No,No,No,Yes,No,No,No,0,0,0,0,2,2,3,5,No,Yes,No,No,No,18,1,No,Yes,No,stepped forward a bit and stopped,,,Yes,2
9098,practice 5,Grac,0,0,1,Yes,No,No,Yes,No,No,No,0,0,0,0,2,6,2,7,Yes,Yes,No,No,No,6,1,No,No,Yes,missed cube,"Scored by shooting kiddle, missed them pushes them in",balanced then was squeezed off,No,0
9098,4,Sarah,0,0,1,Yes,No,No,No,No,No,No,0,0,0,0,5,0,1,5,No,Yes,No,No,Yes,18,1,No,Yes,No,,,,Yes,3
9098,3,Aayan,0,0,2,Yes,No,No,Yes,No,No,No,0,0,0,0,0,2,1,3,No,Yes,No,No,Yes,26,1,No,Yes,No,,tried to score mid but always missed and cube scored lower,had trouble going on the charge station,Yes,3
9098,8,Aayan,0,1,1,No,No,No,Yes,Yes,No,No,0,0,0,0,0,0,1,6,No,Yes,No,No,No,27,1,No,Yes,No,,Only placed cubes for other robots in the team to score them - A feeder robot,,Yes,3
9098,12,Medina,0,0,2,No,No,No,Yes,Yes,No,No,0,0,0,0,2,4,0,0,No,Yes,No,No,No,12,1,No,Yes,No,,,,No,0
9098,16,Grace,0,0,1,No,No,No,Yes,Yes,No,Yes,0,0,0,0,0,5,2,6,Yes,Yes,Yes,No,No,6,1,No,Yes,No,,,,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9098,24,Sarah,0,1,1,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,3,2,4,No,Yes,No,No,Yes,20,2,Yes,No,No,,can only score cubes and at the bottom,,No,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9098,24,Aayan,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,0,0,1,4,3,3,No,Yes,Yes,No,Yes,7,1,No,No,Yes,,Had trouble picking up - Placed cubes by shooting them,,Yes,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9098,qual 32,lucy,0,0,2,No,Yes,No,Yes,Yes,No,No,0,0,1,0,1,5,5,0,No,Yes,No,No,No,0,0,No,No,Yes,,low and fast,,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9098,35,rayan,0,0,3,Yes,No,No,Yes,No,No,No,0,0,0,0,0,5,0,6,Yes,Yes,Yes,Yes,No,8,1,No,Yes,No,,fast compact and can shutdown and fill bottom row with cubes,,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9098,42,Grace,0,1,1,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,5,3,6,No,Yes,Yes,No,Yes,6,1,No,Yes,No,,,,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9098,47,Grace,0,1,1,Yes,No,No,No,No,No,No,0,0,0,0,0,4,3,5,No,Yes,Yes,No,Yes,3,1,No,Yes,No,started with nothing but picked up a cube,"low only, but fast and can travel over the bump and charge station",,Yes,3
9098,50,Aayan,0,0,2,Yes,Yes,No,Yes,Yes,No,Yes,0,0,0,0,1,5,0,5,No,Yes,Yes,No,No,12,0,No,No,Yes,,,,No,0
9098,56,Grace,0,0,1,Yes,No,No,No,No,No,No,0,0,0,0,0,4,3,5,No,Yes,Yes,No,Yes,3,1,No,Yes,No,,low and cube only,,Yes,3
