Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
6725,qual 2,Gurjas,0,0,1,Yes,No,Yes,No,No,No,No,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,0,0,0,No,No,No,moved out community ,robot broke,didn't move,No,0
qual 9,Miles,0,0,1,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,Yes,No,0,0,0,No,No,No,,"broke down, defend",,Yes,0
