Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5031,qual 1,LS,0,0,3,Yes,No,No,No,No,No,No,0,0,2,0,0,0,0,2,No,Yes,Yes,No,No,0,1,Yes,No,No,,cone gets stuck,ruined the balance for the whole alliance,No,0
5031,8,Miles,0,0,3,Yes,No,No,Yes,No,No,No,0,0,1,0,0,1,0,2,No,Yes,No,No,No,0,1,No,Yes,No,,shuttle robot,,No,0
5031,13,Dorothy,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,4,0,0,0,0,0,No,No,No,No,No,4,1,No,Yes,No,,borderline pancake,,No,0
5031,18,Dorothy,0,0,1,Yes,No,Yes,No,No,No,No,0,0,3,0,0,2,0,0,No,No,No,No,No,4,1,No,Yes,No,,,,Yes,3
5031,22,Dorothy,0,0,1,Yes,No,Yes,No,No,No,No,0,0,3,0,0,0,0,0,No,No,No,No,No,14,1,No,Yes,No,,,,No,1
5031,26,Al,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,1,0,0,1,0,3,No,Yes,No,Yes,No,16,1,No,No,Yes,,low scorer....capable defender,,No,0
5031,30,wisam,0,0,1,Yes,No,No,Yes,No,No,No,0,0,3,0,0,2,0,3,No,No,No,No,No,9,1,No,Yes,No,,stopped mid game,,Yes,3
5031,30,Aayan,0,0,3,Yes,No,No,Yes,Yes,No,No,0,0,1,0,0,3,3,2,No,No,Yes,No,No,7,1,No,Yes,No,,Didn't have an arm so pushed cubes to the hybrid zones,,Yes,3
5031,37,Aayan,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,2,0,0,1,1,4,No,Yes,No,No,Yes,4,1,No,Yes,No,,only pushes peices,,Yes,2
5031,42,Kevin,0,0,3,Yes,No,No,Yes,Yes,No,No,0,0,2,0,0,1,3,2,No,Yes,No,Yes,Yes,4,1,No,Yes,No,,no arm and no capability to score other than bottom row,,Yes,3
5031,qual 46,lucy,0,0,2,Yes,No,No,Yes,No,No,No,0,0,2,0,0,3,2,0,No,Yes,Yes,No,Yes,0,1,No,Yes,No,,had trouble pushing game pieces into place,,No,0
5031,52,Miles,0,0,3,Yes,No,No,Yes,No,No,No,0,0,4,0,0,0,0,4,No,Yes,No,No,No,0,1,No,Yes,No,,pushed cones,,Yes,3
5031,56,Sarah,0,0,1,Yes,No,No,Yes,No,No,No,0,0,0,0,0,3,1,3,Yes,Yes,No,Yes,Yes,6,1,No,Yes,No,,"cannot pick up, only push cubes to the lowest scare",,No,1
