Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
5596,Qual 2,Miles,0,0,2,No,No,No,Yes,Yes,No,No,0,0,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,0,0,0,No,No,No,,broke and stayed in community,,No,0
qual 6,Gurjas,0,0,1,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,0,0,No,No,Yes,No,Yes,No,No,Yes,No,5,2,2,No,Yes,No,dropped cube and left community,"were defending the whole time, stayed in the middle and didn't even attempt to get a cube or. cone",docked,No,0
