Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,qual 4,miles,0,0,2,No,No,No,Yes,Yes,No,No,0,0,0,1,0,0,3,0,Yes,No,No,No,Yes,yes,Yes,No,No,0,0,2,No,No,Yes,"they were defending the whole time, no cones or cubes","tried to dock, many attempts but werent successful",,Yes,3
7,Grace,0,0,2,No,No,No,Yes,Yes,No,No,0,0,0,0,0,0,2,0,No,No,No,Yes,No,No,No,No,No,0,0,0,No,No,No,,,,No,0
12,Grace,0,0,2,No,No,No,Yes,Yes,No,Yes,0,0,0,0,0,1,1,1,Yes,No,Yes,No,No,No,Yes,No,No,6,0,1,No,No,Yes,,,,Yes,2
