Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864,2,Miles,0,0,3,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,No,No,No,Yes,No,0,2,Yes,No,No,,Arm stopped working?,,No,0
6864,5,Dorothy,0,0,3,No,No,Yes,No,No,No,No,0,0,0,0,0,1,0,0,No,Yes,No,No,No,0,0,No,No,Yes,,EXTREMELY wobbly,,No,0
6864,13,Al,0,0,none,No,No,No,Yes,No,No,No,0,0,0,0,0,0,0,0,No,No,No,Yes,No,0,0,No,No,Yes,,defended....clumsy defender......no penalties,,No,0
6864,16,MZ,0,0,none,Yes,No,Yes,No,No,No,No,0,0,0,0,0,0,0,0,No,No,No,Yes,No,0,0,No,No,Yes,"was in the way of another robot, it couldn't even move ","Only defended, didn't place if pick up ",parked and not balance ,Yes,3
6864,qual 20,LS,0,0,2,No,No,No,Yes,No,No,No,0,0,0,0,0,1,1,0,No,No,No,Yes,Yes,0,1,Yes,No,No,,pushedcubes into community and spun around in circles most of the time,tipped alliance partner made balance impossible,No,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864,30,Miles,0,0,3,No,No,No,Yes,No,No,No,0,0,0,0,0,1,0,1,No,No,No,Yes,No,0,0,No,No,Yes,,fell over,,No,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864,qual 33,lucy,0,0,2,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,No,No,No,Yes,No,0,1,No,Yes,No,,defence only,,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864,38,Medina,0,0,3,No,No,No,Yes,No,No,No,0,0,0,0,1,0,0,0,No,No,No,Yes,No,18,0,No,No,Yes,,,,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864,45,,0,0,2,No,No,No,Yes,No,No,No,0,0,0,0,0,2,0,1,No,No,Yes,No,No,16,1,Yes,No,No,,had difficulty picking up pieces,,No,0
6864,49,Aayan,0,0,0,No,No,No,Yes,No,No,No,0,0,0,0,1,0,1,0,No,No,No,Yes,No,5,1,No,No,Yes,,,,No,0
6864,55,Kevin,0,0,3,No,No,No,Yes,No,No,No,0,0,0,0,3,1,0,4,Yes,Yes,Yes,No,Yes,5,1,Yes,No,No,,,smooth docking,Yes,3
