Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Practice 2,Aayan,0,0,2,Yes,No,Yes,No,Yes,No,No,2,0,0,1,0,0,3,2,Yes,Yes,No,No,No,20,0,No,Yes,No,,,,Yes,3
1114,qual 3,LS,0,0,2,No,Yes,Yes,No,Yes,Yes,Yes,2,0,2,0,0,0,2,4,Yes,Yes,Yes,No,Yes,16,1,Yes,Yes,No,,,3 robot balance,No,1
1114,6,Grace,0,0,1,Yes,No,Yes,No,Yes,No,No,3,0,0,1,1,0,3,5,Yes,Yes,Yes,No,No,7,1,No,Yes,No,,slight difficulty picking up,,Yes,3
1114,10,Aayan,0,0,2,No,Yes,Yes,No,Yes,No,Yes,1,0,0,2,1,0,0,2,Yes,Yes,Yes,No,No,28,2,No,Yes,No,,Hard for robot to pick up pieces - Didn't pick up a single cone (was preloaded with cone),,Yes,3
1114,18,kai,0,0,2,No,No,Yes,No,Yes,No,Yes,2,0,0,1,0,1,2,3,Yes,Yes,Yes,No,Yes,0,1,No,Yes,No,,,,Yes,3
1114,18,Aayan,0,0,2,No,No,Yes,No,Yes,No,Yes,2,0,0,1,0,1,2,3,Yes,Yes,Yes,No,No,16,1,No,Yes,No,,Almost tipped over at the bump,,Yes,3
1114,qual 24,LS,0,0,2,No,Yes,Yes,No,Yes,Yes,Yes,2,0,1,1,0,0,0,4,Yes,No,Yes,No,Yes,0,1,Yes,Yes,No,,,,No,1
1114,27,Medina,0,0,0,No,No,No,Yes,Yes,No,Yes,1,0,2,1,0,0,2,0,Yes,Yes,No,No,No,12,1,No,Yes,No,,,,No,1
1114,qual 34,lucy,0,0,2,No,No,Yes,No,No,No,No,2,0,2,1,0,0,0,0,Yes,No,Yes,No,Yes,0,1,Yes,No,No,robot cross in auto (normal routine didn't happen),,,No,0
1114,38,MZ,0,0,2,No,Yes,No,Yes,Yes,Yes,Yes,3,1,0,2,0,0,3,5,Yes,No,No,No,Yes,13,1,Yes,Yes,No,,,very strong robot,Yes,3
1114,45,Aayan,0,0,0,No,No,Yes,No,Yes,No,Yes,4,1,1,0,0,0,0,5,Yes,Yes,Yes,No,No,13,1,No,Yes,No,,,,Yes,4
1114,qual 51,Lucy,0,0,2,No,No,Yes,No,Yes,No,Yes,4,0,0,2,0,0,3,0,No,No,Yes,No,Yes,0,1,No,Yes,No,,,,Yes,3
1114,qual 56,Lucy,0,0,2,No,No,Yes,No,Yes,No,Yes,2,1,0,0,0,0,3,0,Yes,Yes,No,No,Yes,0,1,No,Yes,No,,,,Yes,3
