Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
7136,Qual 3,Gurjas,0,0,1,No,No,No,Yes,No,No,No,0,0,0,3,2,0,1,5,No,Yes,Yes,Yes,Yes,No,No,Yes,No,6,2,2,No,Yes,No,"moved a bit, tried to score but missed","kept farming points, got only cubes off floor",engaged,No,0
6,Sarah,0,0,3,No,No,No,Yes,No,No,No,0,0,0,0,0,0,0,1,Yes,No,No,No,No,Yes,No,Yes,No,29,2,0,No,No,No,,"a lot of difficalty simply moving, stayed in the middle the time",,Yes,2
qual 12,Gurjas,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,0,1,0,1,2,0,No,Yes,Yes,Yes,Yes,No,No,Yes,No,13,2,2,No,No,No,,first scored points and started defending a bit. they got pushed around a lot and their arm systen wasn't the best,tried to dock but got pushed off,No,1
