Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
4617,4,Sarah,0,0,3,No,No,No,Yes,Yes,No,No,0,0,0,0,0,0,3,1,Yes,No,Yes,No,No,Yes,Yes,No,No,19,2,3,No,Yes,No,,randomly ran into border and dropped piece,,No,1
9,Sarah,0,0,3,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,4,0,No,No,No,No,Yes,No,Yes,No,No,36,0,2,No,No,No,,"great defender, but never picked up or scored",,Yes,3
