Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,practice 2,LS,0,0,2,No,No,No,No,No,No,No,0,0,0,1,1,0,1,2,Yes,Yes,No,No,No,0,0,No,No,Yes,,robot stopped moving halfway through--broke down,,No,0
1285,practice 4,Sarah,0,0,1,No,No,No,Yes,Yes,No,No,0,0,0,0,0,0,0,0,No,No,No,No,No,2,0,No,No,Yes,,just sat in the middle the whole time,,No,0
1285,2,Aayan,0,0,2,No,No,No,Yes,Yes,No,No,0,0,0,1,2,0,3,3,No,Yes,No,No,No,24,1,No,Yes,No,,Only cubes,,Yes,3
1285,8,Mohamed abdelhady,0,0,2,No,Yes,No,Yes,No,Yes,No,0,0,0,3,0,3,1,9,No,Yes,No,No,No,8,1,Yes,Yes,No,kept spinning on the ramp,stayed mostly in the communjty,,Yes,3
1285,11,Medina,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,0,1,2,3,0,6,No,Yes,No,No,No,11,1,No,Yes,No,,good at picking up cubes quickly,,Yes,3
1285,qual 17,LS,0,0,2,No,Yes,No,Yes,Yes,Yes,No,0,0,0,1,0,3,0,5,No,No,Yes,No,Yes,0,1,Yes,Yes,No,,"shoots cubes, often falls from upper tolower",2 balanced,No,1
1285,23,Miles,0,0,3,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,1,0,1,No,Yes,No,No,No,0,0,No,No,No,,"ejects cubes instead of placing, broke mid game at community",,Yes,3
1285,26,Medina,0,0,2,No,No,No,Yes,Yes,Yes,No,0,0,0,1,0,3,0,4,No,Yes,No,No,No,9,0,Yes,No,No,,,,No,0
1285,36,Aayan,0,0,0,Yes,No,No,Yes,Yes,No,No,0,0,0,2,2,1,0,4,No,Yes,Yes,No,No,26,1,No,Yes,No,,launched cubes,,No,0
1285,qual 41,lucy,0,0,2,No,No,No,Yes,Yes,No,Yes,0,0,0,1,1,3,3,0,Yes,Yes,Yes,No,Yes,12,1,Yes,No,No,,shoots for high but often falls,,Yes,2
1285,45,Sarah,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,0,2,2,1,4,5,No,Yes,No,No,No,1,1,No,Yes,No,,,,Yes,4
1285,qual 49,Lucy,0,0,2,No,No,No,Yes,Yes,Yes,No,0,0,0,2,2,2,4,0,Yes,No,Yes,No,Yes,0,1,No,Yes,No,,scored cubs kept falling off,,Yes,3
1285,54,Aayan,0,0,2,No,Yes,No,Yes,Yes,No,Yes,0,0,0,3,2,0,1,4,No,Yes,Yes,No,No,6,1,No,Yes,No,,,,No,1
