Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
4308,qual 1,lucy,0,0,1,Yes,No,No,Yes,Yes,No,No,0,3,0,0,0,0,2,0,Yes,No,No,No,No,Yes,No,No,No,0,0,0,No,No,Yes,,,,No,1
qual 10,Lucy,0,0,1,No,No,No,Yes,No,No,No,0,0,0,1,1,0,1,3,Yes,No,No,Yes,No,No,No,Yes,No,0,2,1,Yes,Yes,No,,keeps dropping piecea,,No,1
