Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
772,2,Aayan,0,0,3,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,3,1,2,No,Yes,Yes,Yes,No,Yes,Yes,No,No,25,1,1,No,Yes,No,,other robots stopped working - Could only score cubes low but was fast,,No,0
qual 8,Gurjas,0,0,3,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,6,3,0,No,Yes,Yes,Yes,No,No,No,No,No,6,2,2,No,Yes,No,"nothing to special, scored in bottom and left community, kinda slow","kept getting cubes from floor, could only pick cubes and place on bottom",engaged ,No,1
12,MZ (Madison Zhou),0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,5,3,4,No,Yes,No,Yes,No,Yes,Yes,No,No,14,2,1,Yes,Yes,No,,placed low cubes but pieces placed were moved up to higher nodes by other robots ,balanced very quickly ,No,1
