Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,practice 2,Miles Yu,0,0,3,Yes,No,Yes,No,No,No,No,3,0,1,0,0,0,1,5,Yes,No,No,No,Yes,0,1,No,Yes,No,,defended by 1114,,No,0
1241,10,Sarah,0,0,3,Yes,No,Yes,No,Yes,No,No,3,2,0,0,0,0,4,6,Yes,No,No,No,No,8,1,Yes,No,No,,"CANNOT pick up from floor, ALWAYS went to load station",,Yes,3
1241,13,,0,0,0,No,Yes,Yes,No,Yes,Yes,No,3,0,2,0,0,0,0,4,No,Yes,Yes,No,Yes,19,0,No,Yes,No,,broke down (2 rows down),,No,0
1241,17,Aayan,0,0,2,No,Yes,No,No,No,Yes,No,4,0,0,0,0,0,0,3,No,Yes,Yes,No,Yes,26,1,Yes,No,No,,Really fast and as a result was hard to defend against,,Yes,2
1241,qual 22,LS,0,0,2,No,Yes,Yes,No,Yes,Yes,No,1,0,0,0,0,0,2,3,Yes,No,Yes,No,Yes,0,0,No,No,Yes,,looked like it was disabled partway through,,Yes,2
1241,25,Grace,0,0,1,No,No,Yes,No,Yes,No,No,3,1,0,0,0,0,3,5,Yes,No,No,No,No,6,1,No,Yes,No,,fast and crazy,,Yes,3
1241,30,Grace,0,0,1,No,No,Yes,No,Yes,No,No,5,0,0,0,0,0,1,5,Yes,No,No,Yes,Yes,8,1,No,Yes,No,,fast and accurate,,No,0
1241,43,Aayan,0,0,2,No,Yes,Yes,No,Yes,Yes,No,1,0,4,0,0,0,1,3,Yes,No,Yes,No,Yes,2,1,Yes,No,No,,,,No,0
1241,45,Miles,0,0,3,Yes,No,Yes,No,Yes,No,No,2,0,1,1,0,1,0,5,Yes,Yes,Yes,No,No,0,0,No,No,Yes,,,,Yes,4
1241,48,Grace,0,0,1,Yes,No,Yes,No,Yes,No,No,3,0,2,0,0,0,4,6,Yes,No,No,No,No,10,1,No,Yes,No,,,,Yes,3
1241,56,Aayan,0,0,0,No,Yes,Yes,No,Yes,Yes,No,3,0,1,1,0,0,1,5,No,Yes,Yes,No,No,0,0,No,No,Yes,,,,No,1
