Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
4940,qual 1,Miles,0,0,2,No,Yes,Yes,No,Yes,No,Yes,0,0,2,0,0,1,0,3,No,Yes,No,No,No,No,No,No,No,0,0,1,No,Yes,No,,,,Yes,3
10,Aayan,0,0,2,No,Yes,Yes,No,Yes,No,Yes,0,0,1,0,0,4,4,4,No,Yes,No,Yes,No,Yes,Yes,No,No,2,1,1,No,Yes,No,,fast and small ,balanced really quickly,Yes,3
qual 13,Miles,0,0,2,No,No,Yes,No,No,No,No,0,0,1,0,0,3,0,4,No,No,No,No,No,No,No,No,No,0,0,0,No,No,Yes,,,,Yes,2
