Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,5,Miles,0,0,3,No,No,No,No,No,No,No,0,0,0,0,0,1,0,0,No,Yes,Yes,No,No,0,1,No,Yes,No,,pushed cube into bottem,,Yes,3
8731,8,Sarah,0,0,3,No,No,Yes,No,No,No,No,0,0,0,0,0,0,1,0,No,Yes,No,No,No,14,1,No,Yes,No,,did not pick up anything of score,,Yes,3
8731,12,MZ,0,0,1,No,No,Yes,No,No,No,No,0,0,0,0,0,1,0,0,No,No,No,Yes,Yes,11,2,Yes,Yes,No,almost no action at all ,didn't do anything at all ,went straight for balance ,No,0
8731,19,Miles,0,0,3,No,No,Yes,No,Yes,No,No,0,0,0,0,0,0,0,0,No,No,No,Yes,No,0,2,No,Yes,No,,"didn't score at all, just pushed cubes",,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,23,Aayan,0,0,2,No,No,Yes,No,No,No,No,0,0,0,0,0,0,1,0,No,No,No,Yes,No,13,1,Yes,Yes,No,did nothing,did virtually nothing useful,,No,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,28,kai,0,0,3,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,0,2,No,Yes,No,,defender,,No,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,31,Miles,0,0,3,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,No,No,No,Yes,No,0,0,No,No,No,,"slow tank drive, just defended, barely not parked",,No,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,34,Miles,0,0,3,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,No,No,No,Yes,No,0,0,No,No,Yes,,,,No,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,44,Kevin,0,0,3,No,No,No,Yes,Yes,No,No,0,0,0,0,0,1,3,0,No,No,No,Yes,No,5,1,No,Yes,No,,,,Yes,3
8731,49,MZ,0,0,3,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,1,1,0,No,No,No,Yes,No,14,1,Yes,No,No,,arm broke? did defending and didn't attempt to place. ,,No,0
8731,qual 52,Lucy,0,0,2,Yes,No,No,No,No,No,No,0,0,0,0,0,1,1,0,No,No,No,No,No,0,0,No,No,No,,robot broke down,,No,0
