Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
5024,2,Grace,0,0,2,Yes,No,No,Yes,Yes,No,Yes,0,3,0,0,0,0,1,3,Yes,No,Yes,Yes,No,No,Yes,No,No,6,0,1,No,No,Yes,,"seemed to have tech issues, dropping pieces and arm releasing",,Yes,2
qual 8,Miles,0,0,2,No,Yes,No,Yes,Yes,No,Yes,0,2,0,0,1,3,3,6,No,Yes,Yes,Yes,Yes,No,Yes,No,No,0,2,2,No,Yes,No,,,,No,1
11,Aayan,0,0,2,Yes,Yes,No,Yes,No,Yes,No,0,4,0,0,1,0,3,3,Yes,Yes,Yes,Yes,No,No,Yes,No,No,10,3,1,No,Yes,No,,really fast middle cone scorer,,Yes,3
