Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2935,1,Al,0,0,3,No,No,Yes,No,Yes,No,No,0,0,0,0,1,0,3,3,Yes,No,Yes,No,No,14,1,Yes,Yes,No,,missed 2 cones...tippy...drives with mechanism out,almost tipped,Yes,3
2935,6,,0,0,1,Yes,No,Yes,No,Yes,No,No,0,1,0,0,1,1,0,3,Yes,No,No,No,No,18,0,No,No,Yes,,,,No,0
2935,11,Grace,0,0,1,Yes,No,No,No,No,No,No,0,0,1,0,2,0,0,3,Yes,No,Yes,No,Yes,0,1,No,No,Yes,,"pickup from loading station only, crossed bump twice and dropped a piece once, then pushed it to lower. Cannot cross charging station",,No,1
2935,15,Dorothy,0,0,1,Yes,No,Yes,No,Yes,No,No,0,1,0,0,0,0,0,0,Yes,No,No,No,No,0,0,No,No,No,,unstable,,No,0
2935,25,Sarah,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,1,0,1,0,2,3,Yes,No,No,No,No,12,1,No,Yes,No,,very shaky when moving meaning almost tipped and can only use load station,,No,0
2935,29,Grace,0,0,0,Yes,No,No,No,No,No,No,0,1,1,0,1,0,2,4,Yes,No,No,No,No,14,1,No,No,Yes,,grab from station only,,No,0
2935,29,Grace,0,0,0,Yes,No,No,No,No,No,No,0,1,1,0,1,0,2,4,Yes,No,No,No,No,14,1,No,No,Yes,,grab from station only,,No,0
2935,34,Aayan,0,0,1,Yes,No,Yes,No,Yes,No,No,0,1,0,0,1,0,1,4,Yes,No,No,No,No,20,0,Yes,No,No,,,,No,0
2935,46,Grace,0,0,1,No,No,Yes,No,Yes,No,No,0,0,0,0,1,0,2,3,Yes,No,No,No,No,0,0,No,No,No,,"eratically moving back and forth (broken) , and tipped a lot",,No,0
