Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4903,Practice 5,Aayan,0,0,2,No,No,No,Yes,No,No,No,0,0,0,2,1,0,3,3,Yes,Yes,Yes,No,No,9,1,No,Yes,No,,took a long time to pick up objects,,Yes,3
4903,5,Aayan,0,0,1,Yes,No,Yes,No,No,No,No,1,0,0,1,0,0,0,2,No,No,Yes,No,No,14,1,Yes,No,No,,Froze for the first 30 seconds,,No,0
4903,9,Sarah,0,0,3,Yes,No,Yes,No,No,No,No,0,2,0,0,1,0,2,3,Yes,Yes,No,No,No,17,2,Yes,Yes,No,,,,Yes,2
4903,12,kai,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,0,0,0,1,0,0,No,No,No,Yes,No,10,1,No,No,Yes,,,,No,0
4903,16,dorothy,0,0,1,No,No,No,Yes,No,No,No,0,0,0,1,0,0,1,3,Yes,Yes,No,No,No,15,1,No,Yes,No,,,,No,1
4903,21,Grace,0,0,1,Yes,No,Yes,No,No,No,No,2,0,0,2,0,0,2,4,Yes,No,No,No,No,0,0,No,No,Yes,,,,Yes,3
4903,24,Grace,0,0,1,Yes,No,Yes,No,No,No,No,2,0,0,2,0,1,3,4,Yes,Yes,Yes,No,No,12,1,No,Yes,No,,,,No,1
4903,29,Medina,0,0,2,No,No,Yes,No,No,No,Yes,2,0,0,1,0,0,0,0,Yes,Yes,Yes,No,No,9,1,No,No,Yes,,,,No,0
4903,33,rayan,0,0,1,Yes,No,No,No,No,No,No,3,0,1,1,0,0,1,5,Yes,Yes,Yes,No,Yes,7,1,No,No,Yes,,dropped cone from defense,,No,0
4903,38,Miles,0,0,none,Yes,No,No,No,No,No,No,2,0,0,1,0,0,1,3,No,No,No,Yes,No,0,2,No,No,Yes,,,,No,0
4903,45,Grace,0,0,1,Yes,No,No,Yes,Yes,No,No,2,0,0,0,1,0,4,3,Yes,No,No,No,No,14,1,No,Yes,No,,couldn't reach down to floor,,No,2
4903,48,Sarah,0,0,1,Yes,No,No,Yes,Yes,No,No,2,0,0,1,0,0,1,4,Yes,Yes,No,No,No,11,1,No,Yes,No,,,,No,1
4903,52,Aayan,0,0,2,No,Yes,No,Yes,Yes,No,Yes,2,0,0,2,0,0,2,3,Yes,No,Yes,No,Yes,1,0,No,No,Yes,,,,Yes,3
