Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3739,practice 4,miles,0,0,3,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,0,0,No,Yes,No,,did absolutely nothing,didn't let other robots get on,Yes,0
3739,4,dorothy,0,0,3,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,No,Yes,Yes,No,No,0,1,No,Yes,No,,couldn't place and often dropped what they picked up,,Yes,3
3739,9,Miles,0,0,none,Yes,No,Yes,No,No,No,No,1,0,0,0,0,0,0,0,No,No,Yes,No,No,0,0,No,Yes,No,,"didn't do much, bad at picking up",,No,1
3739,qual 13,LS,0,0,none,Yes,No,No,No,No,No,No,0,0,0,0,0,3,0,3,No,Yes,Yes,No,Yes,0,1,Yes,Yes,No,,,all three balanced,Yes,3
3739,17,Grace,0,0,none,Yes,No,No,No,No,No,No,0,0,0,0,0,0,0,1,No,Yes,No,Yes,No,11,1,No,Yes,No,,,,No,1
3739,21,kai,0,0,none,Yes,No,No,No,No,No,No,0,0,0,0,1,0,0,2,No,Yes,No,No,Yes,17,1,No,Yes,No,,,,No,1
3739,24,Miles,0,0,none,Yes,No,No,No,No,No,No,1,0,0,0,0,0,0,1,No,No,No,Yes,No,0,1,No,No,Yes,,"didn't use arm that much, mainly defended",,No,1
3739,29,kai,0,0,none,Yes,No,No,No,No,No,No,0,1,1,0,0,1,0,3,Yes,Yes,Yes,No,No,25,2,No,Yes,No,,score up to mid,,No,2
3739,qual 35,lucy,0,0,none,Yes,No,No,No,No,No,No,0,2,1,0,1,0,2,0,Yes,Yes,Yes,No,Yes,28,0,Yes,No,No,,,,No,1
3739,39,Miles,0,0,3,Yes,No,No,No,No,No,No,0,0,1,0,0,0,0,1,No,No,No,No,No,0,1,No,Yes,No,,bad at picking up,,No,1
3739,46,Kevin,0,0,3,Yes,No,Yes,No,Yes,No,No,0,2,1,0,0,0,0,3,Yes,No,Yes,No,No,2,1,No,Yes,No,,,,No,0
3739,54,Kevin,0,0,3,No,No,Yes,No,Yes,No,No,0,0,1,0,0,2,2,2,Yes,Yes,Yes,No,Yes,0,0,No,No,No,,,,Yes,3
