Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Stationable,Did Defend,Was Defended,Not Tipsy,Little Tipsy,Very Tipsy,Time,# of Robot's Docked,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
5408,qual 2,lucy,0,0,1,Yes,No,No,Yes,No,No,No,0,0,0,1,1,1,1,0,No,Yes,No,No,No,Yes,No,Yes,No,19,0,2,No,No,No,,,other robot destroyed balance,Yes,2
qual 5,lucy,0,0,1,Yes,No,No,Yes,Yes,No,No,0,0,0,1,0,0,0,1,No,Yes,No,No,No,No,No,Yes,No,0,2,1,Yes,Yes,No,,gripper is slow and drops pieces often,,No,1
qual 10,Gurjas,0,0,1,No,No,No,Yes,Yes,No,No,0,0,0,1,0,3,4,4,No,Yes,Yes,Yes,No,No,No,Yes,No,1,1,1,No,No,No,placed cube ,"arm mechanism was very bad, had trouble picking andplacing",failed to dock,Yes,3
