Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,1,Sarah,0,0,1,No,No,No,No,No,No,No,0,0,0,0,0,0,3,0,No,No,No,No,No,30,0,No,No,No,,"just sat in the middle th whole time, did a little bit of movin(battery fell out)",,Yes,0
1360,12,Aayan,0,0,1,No,No,Yes,No,No,No,No,0,0,2,0,0,0,0,1,No,No,No,No,No,25,1,No,Yes,No,,couldn't really do anything,,Yes,3
1360,17,Miles,0,0,0,No,No,Yes,No,No,No,No,0,0,1,0,0,0,0,0,No,No,No,Yes,No,0,0,No,No,No,,"swerve, defended all match",,No,1
1360,25,Aayan,0,0,0,No,No,No,Yes,Yes,No,No,0,0,0,1,1,4,3,2,No,Yes,Yes,No,No,32,1,No,Yes,No,,,,No,0
1350,25,kai,0,0,2,No,No,No,No,No,No,No,0,0,0,0,0,6,0,0,No,Yes,Yes,No,No,0,0,No,No,Yes,,Manchester united,,No,0
1360,30,Dorothy,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,0,0,0,1,0,0,Yes,Yes,No,Yes,No,11,1,No,No,Yes,,brough items for others to place,,Yes,3
1350,25,kai,0,0,2,No,No,No,No,No,No,No,0,0,0,0,0,6,0,0,No,Yes,Yes,No,No,0,0,No,No,Yes,,Manchester united,,No,0
1360,34,Dorothy,0,0,0,Yes,No,Yes,No,Yes,No,No,0,0,1,0,0,0,0,0,No,No,No,No,No,3,1,No,Yes,No,,pushed items over couldn't intake?,quick accurate climb,Yes,3
1360,34,Medina,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,1,0,0,0,0,0,No,No,Yes,Yes,No,5,1,No,Yes,No,,,,Yes,3
1360,34,Medina,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,1,0,0,0,0,0,No,No,Yes,Yes,No,5,1,No,Yes,No,,,,Yes,3
1360,39,MZ,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,1,0,0,2,3,0,No,Yes,Yes,No,Yes,10,1,Yes,Yes,No,,did not use arm - arm broken? After as shuttle bot. pushed blocks around,,Yes,3
1360,43,Kevin,0,0,3,Yes,No,Yes,No,Yes,No,No,0,0,1,0,0,0,4,0,No,No,No,Yes,Yes,0,0,No,No,No,,defended a !ot then suddenly stopped,,Yes,3
1360,47,Sarah,0,0,1,Yes,No,Yes,No,No,No,No,0,0,0,0,0,0,1,0,No,No,No,Yes,No,27,1,No,Yes,No,,speedy shaky driving and running into walls,,No,0
1360,52,MZ,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,1,0,0,4,1,0,No,No,No,No,Yes,12,1,Yes,Yes,No,,"didn't pick up any pieces, only pushed ",,No,0
